age,years_in_labour_force,years_of_further_education,miles_resided_from_coast,committed
31.549801366393574,22.863864528624372,1.5268937277737504,60.322434205842704,1
44.974497189844804,20.850710597103667,3.316780364496093,85.5847399439709,1
30.506782437249782,17.866273332853016,2.4247459010714376,1.4542370410151828,0
33.71379884055166,21.387123796749627,8.267520569701892,18.970902568753544,1
15.384826647295522,4.620059015282795,6.624168077956973,59.37835570763074,0
45.11501920047804,20.41170917614439,4.503482219731315,82.75623712525211,1
28.900223397228913,17.655309781779533,6.402814333946494,2.295531922219751,1
20.604225637232034,14.065466243349356,7.062974256412588,79.80094893620566,1
40.9377638559719,16.515459326326106,3.354091606779801,21.308981961677443,1
34.402238121843524,11.207375408930263,6.746377454168666,47.144864985249455,1
47.96007972312976,22.4127844279665,5.224619727843684,65.77704442861416,1
45.28655220534748,27.580372968369705,8.012534704647749,94.85542895327745,1
25.94004202059815,15.874190704573962,5.017528057759028,43.406763947242744,0
68.48356014514644,26.85604399708872,6.268948391058834,10.125993492950291,1
43.770349257486224,24.556441264673865,7.254259303881192,90.75337055499615,1
54.17404826694758,18.517657421232744,5.748752676239439,35.57572788670076,1
28.252356317686434,24.472219177320227,3.4704869315860103,70.5383450151895,1
15.60456052866309,9.734558892997043,7.36484273132405,11.686869503869413,0
42.94601722992936,17.668710670931944,2.0633507847565475,44.2452805187923,1
39.45832964577424,20.407743514208093,5.143613008369171,80.19375481983757,1
29.23929425637065,14.181187942876747,4.700063924298613,92.72218014138032,0
45.4718416543089,18.401482482085115,5.82885918408045,85.83976647259239,1
26.429049845752147,12.600835607367404,6.213979124527159,44.303238071372775,1
40.38758368513825,18.239030965624117,4.451222710413716,91.1825183694867,1
36.615290321373486,17.372151333272217,4.4764232720772945,66.82963525665562,0
36.06749786353009,15.78826735406221,2.4433058047283613,26.448739566993616,0
27.061327065202697,15.467243111642464,6.2273971641563595,98.55288002800383,0
35.87840599425485,18.994759157154196,2.1755873026073362,38.23626722832656,1
34.75869058543015,12.633434513662248,8.773686680471052,9.423952182896599,1
24.314348979167214,17.18376118042727,4.851946552507525,34.603095605118405,1
23.829337111624817,16.306584095301584,9.204734106447457,74.12118596115646,1
55.917648484165746,30.313930642133528,6.126641488729153,17.62955494357461,1
41.58753687267294,24.82371441906316,7.3018307180063875,82.93937355259413,0
38.01689785087447,19.3551094552098,2.784715654602115,94.55224516867251,1
43.27493398559755,19.145237418121564,7.361935497086035,11.610673007711192,1
49.33562930538328,26.477488442007136,5.021522680769567,89.56540935426257,1
30.468595128501686,22.56861819152252,1.6454124081425427,50.59907158178728,1
48.049491550914404,24.234472419411134,2.7396856726467327,80.82502230973121,1
37.32298352865773,18.47893603984477,4.3047510917811715,94.96222241627613,0
47.5262112491932,24.214792320945733,5.37114820637072,73.64542980586027,1
36.1930031762308,21.171296018700666,3.044530157034691,97.53210332532063,1
44.12928551206994,21.460293705958478,3.055800481353347,20.39098343976862,1
29.508430881156933,21.18659612818535,6.595528553625922,1.1722121870141544,1
24.473889421588076,12.46524750119844,6.179312177262719,64.08190376680994,0
50.49117091979928,16.291388636150415,3.1427640616379895,79.09395214614948,1
