age,years_in_labour_force,years_of_further_education,miles_resided_from_coast,committed
25.971259227127888,14.809051450368273,8.307270432059717,55.53009963309352,0
34.93474991924819,15.535064407676195,3.93049839081817,44.09991781508959,0
27.24597818119963,21.471393396290836,4.623026280482341,50.431172344022265,0
49.1678237750234,20.40442507765183,4.177440151338923,69.17677793910948,0
37.29131915986667,21.469093407395835,3.656978789397847,52.86648602029855,0
42.067920217803824,17.716943722070752,1.3170105813270832,50.69654822234223,0
40.420741090630884,21.987530315287643,4.9705045639663155,29.60215788530121,0
43.376985508101136,23.29592640482649,2.428868812577779,61.193803490408314,0
28.1592067240317,15.59528940687066,4.931656236931345,59.68226271711613,0
39.364671547741175,22.22800560489318,9.23154161912597,82.4488208495819,0
49.56009668304637,21.260091507895,3.981309807338583,45.38332647570499,0
43.19107558618517,19.89781175036024,5.389548011256134,53.287254914959085,1
45.96923623744086,28.111058732188365,6.813296771618566,53.74075525566133,1
18.80154274736808,9.748544092322684,5.560582583931814,73.66179919645211,0
39.29520134996696,19.127683288304333,5.584968375884592,48.57056701419572,0
27.55482290644705,18.549246151459123,4.27519513262384,54.185322886555085,0
57.14050207531844,28.86258140263779,4.536244049877535,59.11844764574809,0
51.052909077036624,30.095554794101773,3.0799789556243438,52.79913684734537,0
36.53079174817116,16.01187085608604,6.692090017778815,43.30349578174208,0
42.716706561139645,20.304729746015617,1.5170166867718082,52.911349893474615,0
33.63364963903139,20.38675011999084,6.942176676764404,66.10447624789659,0
49.387800486520376,29.61710032779949,2.192603230509515,34.602270508834096,0
25.004447129790606,10.86141357005584,6.9252145481533045,51.99454511220314,0
37.39280900420969,24.034300350914158,4.292364947575638,39.4981877759124,1
28.116522982503408,13.835289015060692,2.5362626237338395,67.92569943387264,0
28.606196218289053,24.110432893392023,6.158597290159273,27.15219642824338,0
39.651338644962706,17.93939489575314,6.85753507015155,41.61617229092617,0
38.01483001882376,19.884141329073636,4.123842703792926,55.658178125967815,0
44.7272494041198,23.380974792026365,6.441221097357866,73.4828604385151,0
53.20050189458488,23.71006586018199,0.4298310106612995,49.01374608390518,1
34.39576114888552,12.2752499060779,2.3588074205067993,41.67200709960203,1
33.23842203811855,10.997804036027155,7.5848178609374575,78.21735604160885,1
57.75736555258425,26.186966730075284,4.552661451604168,28.27979149375634,0
35.68968708616161,22.132743845910753,1.2755733471023047,17.017910650698774,0
39.69873088224154,19.125295494730533,3.602267639116013,56.60021675079999,0
35.19828202852333,15.291064613420428,3.1531990549498383,42.46918663471083,0
39.93491361793608,16.351453894388634,4.668076537054151,34.681507743039305,0
39.32206560777578,19.314405646040203,4.258498032384705,60.6253467094903,0
